Questions,Answers
About Sngce,Sree Narayana Gurukulam College of Engineering was established in 2002 by Kunnathunadu S.N.D.P Union. It is named after Sree Narayana Guru (1855–1928).
College Type,Self-Financing-Engineering-College
Principal Name ,Dr. Prof Kemthose p. Paul
Official Website Name,http://www.sngce.ac.in/
Affiliations,APJ Abdul Kalam Technological University
Location,"Kadayiruppu P.O, Kolenchery
Ernakulam dist., Kerala. Pin 682311."
Map location,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3929.0895475189577!2d76.45043771479423!3d10.009461892844657!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3b07dfe0ffffffff%3A0x98f87eeadc0b60b!2sSree%20Narayana%20Gurukulam%20College%20of%20Engineering!5e0!3m2!1sen!2sin!4v1570510051714!5m2!1sen!2sin"" width=""400"" height=""300"" frameborder=""0"" style=""border:0;"" allowfullscreen=""""></iframe>"
Campus,the campus occupies 40 acres in the outskirts of Kochi. The college is 4km of north of Kolancheri
Management,"The college is managed by the Sree Narayana Gurukulam Trust, a registered charitable society comprising personalities from diverse spheres in Kerala. The functioning of the institution is steered by the Sree Narayana Gurukulam Trust. The members of the trust hail from various professional fields. The College has been approved by the All-India Council for Technical Education (AICTE), New Delhi and it is affiliated to Mahatma Gandhi University and APJ Abdul Kalam Technological University, Kerala."
Post Graduate Programmes,"Master of Computer Applications (Regular and Lateral Admissions)
Master of Business Administration (Residential Programme)"
M.Tech Cources,"Computer Science And Engineering (CSE)
Cyber Security
Machine Designing
Power Electronics
Computer Aided Structural Engineering
Structural Engineering And Construction Management
Vlsi And Embedded System
Communication Engineering"
Undergraduate Programmes,"Naval Architecture and Ship Building Engineering (NASB)
Electronics and Communication Engineering (ECE)
Electrical and Electronics Engineering (EEE)
Computer Science and Engineering (CSE)
Mechanical Engineering (ME)
Civil Engineering (CE)"
Computer laboratories,"The college has eleven computer labs:

Programming Lab
Data structures Lab
Database Lab
System software Lab
Computer Hardware and networking Lab
Network Programming Lab
Graphics and Multimedia Lab
Internet Lab
CAD Lab
Linux Lab
Data Centre"
Naval Architecture and ship building Engineering laboratories,"Welding Lab : TIG, MIG, SAW, MAW
Ship Design Lab
Fire Control Lab
CAM Lab
Naval Architecture also has access to the laboratories of mechanical engineering department."
Electronics and Communication Engineering laboratories,"Basic Electronics Lab
Communications Lab I
Electronics Circuit Lab
Micro Processor Lab
Computer programming Lab
Systems Lab
Communications Lab II
Linear IC Lab
Digital Lab"
Electrical Electronics Engineering laboratories,"Basic Electrical Lab
Computer Programming Lab
Electrical Machines Lab
Electrical Measurements Lab
Hydraulic Machines Lab
Heat Engines Lab
Electronic Circuit Lab
Control Systems Lab
Power Electronics Lab
Electrical Engineering Workshop"
Mechanical Engineering laboratories,"Mechanical Workshop - Smithy Fitting Foundry and Carpentry
Heat Engines Lab
Electrical & Electronics Lab
Computer Lab
Hydraulic Machines Lab
Fluid Mechanics Lab
Mechanical Engineering Lab
CNC Lab"
Civil Engineering laboratories,"Survey Lab
Concrete Lab
Material Testing Lab
Computing Testing Lab
Hydraulics Lab"
Sngce Corporate Video,https://youtu.be/vPWyd6xTwaE
Sngce Video Links,"https://youtu.be/vPWyd6xTwaE
https://www.youtube.com/watch?v=4trP96h0wtQ
https://www.youtube.com/watch?v=svQGY1YcDvQ
https://www.youtube.com/watch?v=hHYg-QBsngU
https://www.youtube.com/watch?v=iCUQ-JTJod4
"
Landline Number,0484-2597800(30 lines)
Principal Mobile number,+91 9497417700 
Executive Director Name,Adv. T. A. Vijayan
Executive Director Phone Number,9446477126
Sngce Fax Number,0484-2762541
SNGC Trust Phone Number,0484-2594885
Sngce email Address,"principal@sngce.ac.in
info@sngce.ac.in"
Sngce Facebook page ,https://www.facebook.com/SNGCE-836784216530141/
Sngce twitter page,https://twitter.com/Sngcecollege
Sngce Linked in page,https://www.linkedin.com/company/sngce/
Sngce college Prospectus download,http://www.sngce.ac.in/web_assets/images/SNGCEAdmission_Prospectus1_209.pdf
Sngce college Brochure download,http://www.sngce.ac.in/web_assets/images/f38e8914b971ae8417fd82b92466be5f.pdf
MBA fee structure,http://www.sngce.ac.in/web_assets/images/acc0e355402e3c660595b5bbbf84eb84.pdf
Btech goverment Quota Fee structure,http://www.sngce.ac.in/web_assets/images/71bff043ec1d15fa24c4c0099d15ca94.pdf
Btech Management Quota Fee structure,http://www.sngce.ac.in/web_assets/images/00287437887a2961a1feae16fe7ef23c.pdf
Scholorship Details,http://www.sngce.ac.in/web_assets/images/41b244a94cbb1eacb39958d2f8221e75.pdf
